Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,00,00,0000,INDIA,Rural,25-29,57685140,28377173,29307967,972633,626970,345663,0,0,0,487715,405718,81997,91535,70702,20833,54919,39960,14959,338464,110590,227874
C3010,00,00,0000,INDIA,Rural,30-34,51828879,25688779,26140100,496277,238884,257393,0,0,0,106252,87429,18823,31331,21329,10002,23192,15840,7352,335502,114286,221216
C3010,00,00,0000,INDIA,Rural,35-59,166227384,85711181,80516203,791385,391452,399933,0,0,0,109272,93353,15919,61687,39114,22573,41541,27849,13692,578885,231136,347749
C3010,00,00,0000,INDIA,Rural,60+,57444714,28359605,29085109,96520,57912,38608,0,0,0,19775,15894,3881,16647,8941,7706,9402,6317,3085,50696,26760,23936
C3010,00,00,0000,INDIA,Rural,Age not stated,1896818,1035395,861423,17674,11168,6506,0,0,0,9000,6503,2497,2637,1799,838,2122,1386,736,3915,1480,2435
C3010,00,00,0000,INDIA,Urban,All ages,286119689,150554098,135565591,73119240,39768604,33350636,63781767,34193497,29588270,7920105,4643526,3276579,970813,658900,311913,361442,235240,126202,85113,37441,47672
C3010,00,00,0000,INDIA,Urban,0-4,25338754,13262414,12076340,1340744,710647,630097,1340744,710647,630097,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Urban,5,6189990,3293903,2896087,1934260,1040179,894081,1934260,1040179,894081,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Urban,6,5820373,3035238,2785135,3006957,1582353,1424604,3006957,1582353,1424604,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Urban,7,5684527,2960071,2724456,4657626,2452990,2204636,4657626,2452990,2204636,0,0,0,0,0,0,0,0,0,0,0,0
