Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,08,00,0000,State - RAJASTHAN  08,Urban,15-19,1430636,778236,652400,797819,471247,326572,686590,410320,276270,95737,50988,44749,7979,5532,2447,7044,4262,2782,469,145,324
C3010,08,00,0000,State - RAJASTHAN  08,Urban,20-24,1277580,692901,584679,261791,171360,90431,69396,48225,21171,178171,113501,64670,8128,5973,2155,4858,3351,1507,1238,310,928
C3010,08,00,0000,State - RAJASTHAN  08,Urban,25-29,1087892,562514,525378,25515,18200,7315,0,0,0,17389,12695,4694,4422,3458,964,2386,1706,680,1318,341,977
C3010,08,00,0000,State - RAJASTHAN  08,Urban,30-34,968446,498650,469796,5894,3412,2482,0,0,0,3022,2050,972,925,652,273,649,406,243,1298,304,994
C3010,08,00,0000,State - RAJASTHAN  08,Urban,35-59,2951474,1583959,1367515,7793,4679,3114,0,0,0,3648,2613,1035,1319,931,388,662,410,252,2164,725,1439
C3010,08,00,0000,State - RAJASTHAN  08,Urban,60+,785710,378471,407239,1481,922,559,0,0,0,775,557,218,284,152,132,109,65,44,313,148,165
C3010,08,00,0000,State - RAJASTHAN  08,Urban,Age not stated,59030,31999,27031,1279,793,486,0,0,0,1009,612,397,153,106,47,93,60,33,24,15,9
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,All ages,166197921,87565369,78632552,37171705,22146626,15025079,34625154,20403702,14221452,2222688,1532998,689690,127197,94497,32700,99092,70741,28351,97574,44688,52886
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,0-4,20721672,10741471,9980201,431425,232513,198912,431425,232513,198912,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,5,5472211,2937216,2534995,842976,475641,367335,842976,475641,367335,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,6,5430745,2830346,2600399,1666405,920665,745740,1666405,920665,745740,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,7,4095286,2144766,1950520,2444755,1351842,1092913,2444755,1351842,1092913,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,8,6506706,3453580,3053126,4295065,2417245,1877820,4295065,2417245,1877820,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,9,3386278,1778582,1607696,2528102,1399306,1128796,2528102,1399306,1128796,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,10,6989425,3805802,3183623,4928822,2865337,2063485,4928822,2865337,2063485,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,11,2663137,1430368,1232769,2046117,1168260,877857,2046117,1168260,877857,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,12,5738274,3120058,2618216,4003330,2367764,1635566,4003330,2367764,1635566,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,13,3047586,1585504,1462082,2127115,1219649,907466,2127115,1219649,907466,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,14,3872012,2044323,1827689,2406828,1438888,967940,2406828,1438888,967940,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,15-19,16044841,8976423,7068418,6957302,4505241,2452061,6138969,3993601,2145368,731378,452570,278808,33184,23879,9305,47106,32039,15067,6665,3152,3513
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,20-24,13311974,6974638,6337336,1962387,1394676,567711,765245,552991,212254,1125558,792910,332648,33359,25977,7382,19928,15439,4489,18297,7359,10938
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,25-29,11792446,5981334,5811112,257110,196134,60976,0,0,0,196796,155436,41360,27172,21687,5485,13927,10894,3033,19215,8117,11098
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,30-34,10814273,5339396,5474877,89427,61485,27942,0,0,0,57773,44153,13620,9021,6504,2517,4971,3453,1518,17662,7375,10287
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,35-59,33924676,17838912,16085764,148090,106546,41544,0,0,0,90407,72168,18239,18634,12886,5748,9503,6494,3009,29546,14998,14548
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,60+,11649468,6174894,5474574,27996,19856,8140,0,0,0,14656,11658,2998,4925,3004,1921,2712,1778,934,5703,3416,2287
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,Age not stated,736911,407756,329155,8453,5578,2875,0,0,0,6120,4103,2017,902,560,342,945,644,301,486,271,215
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,All ages,131658339,69157470,62500869,28017938,17069571,10948367,26612326,16015226,10597100,1201163,932870,268293,60384,44737,15647,54760,36851,17909,89305,39887,49418
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,0-4,17211773,8888667,8323106,271364,146840,124524,271364,146840,124524,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,5,4557919,2444394,2113525,596474,339689,256785,596474,339689,256785,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,6,4489521,2337381,2152140,1297861,723079,574782,1297861,723079,574782,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,7,3346064,1750926,1595138,1944947,1083495,861452,1944947,1083495,861452,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,8,5344951,2835660,2509291,3480782,1973830,1506952,3480782,1973830,1506952,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,9,2743513,1440525,1302988,2033998,1135025,898973,2033998,1135025,898973,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,10,5676700,3094016,2582684,3966793,2332921,1633872,3966793,2332921,1633872,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,11,2066387,1111812,954575,1574333,912731,661602,1574333,912731,661602,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,12,4559308,2485290,2074018,3137304,1893396,1243908,3137304,1893396,1243908,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,13,2358494,1234033,1124461,1612500,952404,660096,1612500,952404,660096,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,14,2962358,1570447,1391911,1788784,1109717,679067,1788784,1109717,679067,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,15-19,12099227,6816726,5282501,4826863,3329067,1497796,4366176,3007141,1359035,411738,290292,121446,14967,11022,3945,28098,17891,10207,5884,2721,3163
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,20-24,10086238,5184733,4901505,1161608,892467,269141,541010,404958,136052,581151,463454,117697,13683,10988,2695,8780,6482,2298,16984,6585,10399
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,25-29,9188763,4620833,4567930,145610,115601,30009,0,0,0,110482,94527,15955,11195,9228,1967,6046,4540,1506,17887,7306,10581
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,30-34,8473730,4156074,4317656,59228,41314,17914,0,0,0,34716,29125,5591,4984,3492,1492,2952,1947,1005,16576,6750,9826
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,35-59,26277823,13734372,12543451,96550,71677,24873,0,0,0,52075,46387,5688,11529,7679,3850,6285,4277,2008,26661,13334,13327
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,60+,9624525,5127585,4496940,17895,12820,5075,0,0,0,7611,6602,1009,3465,2006,1459,1909,1250,659,4910,2962,1948
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,Age not stated,591045,323996,267049,5044,3498,1546,0,0,0,3390,2483,907,561,322,239,690,464,226,403,229,174
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,All ages,34539582,18407899,16131683,9153767,5077055,4076712,8012828,4388476,3624352,1021525,600128,421397,66813,49760,17053,44332,33890,10442,8269,4801,3468
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,0-4,3509899,1852804,1657095,160061,85673,74388,160061,85673,74388,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,5,914292,492822,421470,246502,135952,110550,246502,135952,110550,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,6,941224,492965,448259,368544,197586,170958,368544,197586,170958,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,7,749222,393840,355382,499808,268347,231461,499808,268347,231461,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,8,1161755,617920,543835,814283,443415,370868,814283,443415,370868,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,9,642765,338057,304708,494104,264281,229823,494104,264281,229823,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,10,1312725,711786,600939,962029,532416,429613,962029,532416,429613,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,11,596750,318556,278194,471784,255529,216255,471784,255529,216255,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,12,1178966,634768,544198,866026,474368,391658,866026,474368,391658,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,13,689092,351471,337621,514615,267245,247370,514615,267245,247370,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,14,909654,473876,435778,618044,329171,288873,618044,329171,288873,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,15-19,3945614,2159697,1785917,2130439,1176174,954265,1772793,986460,786333,319640,162278,157362,18217,12857,5360,19008,14148,4860,781,431,350
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,20-24,3225736,1789905,1435831,800779,502209,298570,224235,148033,76202,544407,329456,214951,19676,14989,4687,11148,8957,2191,1313,774,539
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,25-29,2603683,1360501,1243182,111500,80533,30967,0,0,0,86314,60909,25405,15977,12459,3518,7881,6354,1527,1328,811,517
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,30-34,2340543,1183322,1157221,30199,20171,10028,0,0,0,23057,15028,8029,4037,3012,1025,2019,1506,513,1086,625,461
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,35-59,7646853,4104540,3542313,51540,34869,16671,0,0,0,38332,25781,12551,7105,5207,1898,3218,2217,1001,2885,1664,1221
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,60+,2024943,1047309,977634,10101,7036,3065,0,0,0,7045,5056,1989,1460,998,462,803,528,275,793,454,339
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,Age not stated,145866,83760,62106,3409,2080,1329,0,0,0,2730,1620,1110,341,238,103,255,180,75,83,42,41
C3010,10,00,0000,State - BIHAR  10,Total,All ages,82998509,43243795,39754714,13728783,8569438,5159345,12603832,7704798,4899034,1003953,782326,221627,45848,33940,11908,48998,35110,13888,26152,13264,12888
C3010,10,00,0000,State - BIHAR  10,Total,0-4,11006072,5623280,5382792,136675,75300,61375,136675,75300,61375,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,5,2794120,1472925,1321195,252403,145534,106869,252403,145534,106869,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,6,3005871,1556500,1449371,550690,313914,236776,550690,313914,236776,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,7,1923438,996424,927014,811564,463801,347763,811564,463801,347763,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,8,3618492,1911110,1707382,1706769,1002710,704059,1706769,1002710,704059,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,9,1462381,768304,694077,827316,480589,346727,827316,480589,346727,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,10,3847307,2083648,1763659,2051733,1247809,803924,2051733,1247809,803924,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,11,1089485,581455,508030,676623,400617,276006,676623,400617,276006,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,12,3112657,1696778,1415879,1699313,1048802,650511,1699313,1048802,650511,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,13,1241128,654351,586777,718061,428166,289895,718061,428166,289895,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,14,1773200,953969,819231,918566,566283,352283,918566,566283,352283,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,15-19,7190188,4028643,3161545,2427583,1654981,772602,2035131,1371009,664122,355659,258953,96706,8960,6617,2343,25839,17397,8442,1994,1005,989
C3010,10,00,0000,State - BIHAR  10,Total,20-24,6323193,3180063,3143130,725690,559653,166037,218988,160264,58724,485749,384354,101395,9975,7654,2321,7038,5578,1460,3940,1803,2137
C3010,10,00,0000,State - BIHAR  10,Total,25-29,5908308,2894706,3013602,127418,107664,19754,0,0,0,106125,91684,14441,10816,8852,1964,6480,5270,1210,3997,1858,2139
C3010,10,00,0000,State - BIHAR  10,Total,30-34,5549787,2713871,2835916,36862,28992,7870,0,0,0,25878,21885,3993,4486,3307,1179,2856,2111,745,3642,1689,1953
C3010,10,00,0000,State - BIHAR  10,Total,35-59,17473783,9101858,8371925,48572,35406,13166,0,0,0,24565,20563,4002,8907,5909,2998,5089,3586,1503,10011,5348,4663
C3010,10,00,0000,State - BIHAR  10,Total,60+,5501274,2922005,2579269,11196,8015,3181,0,0,0,4787,4022,765,2521,1502,1019,1473,1021,452,2415,1470,945
C3010,10,00,0000,State - BIHAR  10,Total,Age not stated,177825,103905,73920,1749,1202,547,0,0,0,1190,865,325,183,99,84,223,147,76,153,91,62
C3010,10,00,0000,State - BIHAR  10,Rural,All ages,74316709,38594996,35721713,11393075,7218932,4174143,10669391,6630216,4039175,630098,527615,102483,30093,21468,8625,38866,27176,11690,24627,12457,12170
C3010,10,00,0000,State - BIHAR  10,Rural,0-4,10083847,5146939,4936908,107036,59455,47581,107036,59455,47581,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,5,2558184,1347427,1210757,205119,119321,85798,205119,119321,85798,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,6,2756458,1426723,1329735,470331,270786,199545,470331,270786,199545,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,7,1735976,899493,836483,689342,398542,290800,689342,398542,290800,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,8,3303385,1744873,1558512,1492471,885585,606886,1492471,885585,606886,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,9,1308462,687298,621164,709161,416679,292482,709161,416679,292482,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,10,3497580,1894836,1602744,1799055,1106815,692240,1799055,1106815,692240,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,11,952156,508272,443884,565902,340103,225799,565902,340103,225799,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,12,2801086,1528246,1272840,1470211,921592,548619,1470211,921592,548619,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,13,1081777,571745,510032,594210,362278,231932,594210,362278,231932,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,14,1547128,833653,713475,754402,476713,277689,754402,476713,277689,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,15-19,6263105,3508252,2754853,1884320,1334018,550302,1627999,1135086,492913,226450,179034,47416,5980,4373,1607,22021,14598,7423,1870,927,943
C3010,10,00,0000,State - BIHAR  10,Rural,20-24,5560017,2753122,2806895,494271,399455,94816,184152,137261,46891,295470,252040,43430,5732,4410,1322,5189,4058,1131,3728,1686,2042
C3010,10,00,0000,State - BIHAR  10,Rural,25-29,5255133,2551836,2703297,81440,70690,10750,0,0,0,68072,61333,6739,5749,4590,1159,3902,3074,828,3717,1693,2024
C3010,10,00,0000,State - BIHAR  10,Rural,30-34,4960310,2411088,2549222,26820,21221,5599,0,0,0,18184,15985,2199,3121,2148,973,2064,1480,584,3451,1608,1843
C3010,10,00,0000,State - BIHAR  10,Rural,35-59,15523464,8046291,7477173,38702,28323,10379,0,0,0,17870,15704,2166,7173,4613,2560,4206,2940,1266,9453,5066,4387
C3010,10,00,0000,State - BIHAR  10,Rural,60+,4965924,2640319,2325605,9100,6520,2580,0,0,0,3352,2963,389,2187,1254,933,1295,906,389,2266,1397,869
C3010,10,00,0000,State - BIHAR  10,Rural,Age not stated,162717,94583,68134,1182,836,346,0,0,0,700,556,144,151,80,71,189,120,69,142,80,62
C3010,10,00,0000,State - BIHAR  10,Urban,All ages,8681800,4648799,4033001,2335708,1350506,985202,1934441,1074582,859859,373855,254711,119144,15755,12472,3283,10132,7934,2198,1525,807,718
C3010,10,00,0000,State - BIHAR  10,Urban,0-4,922225,476341,445884,29639,15845,13794,29639,15845,13794,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,5,235936,125498,110438,47284,26213,21071,47284,26213,21071,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,6,249413,129777,119636,80359,43128,37231,80359,43128,37231,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,7,187462,96931,90531,122222,65259,56963,122222,65259,56963,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,8,315107,166237,148870,214298,117125,97173,214298,117125,97173,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,9,153919,81006,72913,118155,63910,54245,118155,63910,54245,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,10,349727,188812,160915,252678,140994,111684,252678,140994,111684,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,11,137329,73183,64146,110721,60514,50207,110721,60514,50207,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,12,311571,168532,143039,229102,127210,101892,229102,127210,101892,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,13,159351,82606,76745,123851,65888,57963,123851,65888,57963,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,14,226072,120316,105756,164164,89570,74594,164164,89570,74594,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,15-19,927083,520391,406692,543263,320963,222300,407132,235923,171209,129209,79919,49290,2980,2244,736,3818,2799,1019,124,78,46
C3010,10,00,0000,State - BIHAR  10,Urban,20-24,763176,426941,336235,231419,160198,71221,34836,23003,11833,190279,132314,57965,4243,3244,999,1849,1520,329,212,117,95
C3010,10,00,0000,State - BIHAR  10,Urban,25-29,653175,342870,310305,45978,36974,9004,0,0,0,38053,30351,7702,5067,4262,805,2578,2196,382,280,165,115
C3010,10,00,0000,State - BIHAR  10,Urban,30-34,589477,302783,286694,10042,7771,2271,0,0,0,7694,5900,1794,1365,1159,206,792,631,161,191,81,110
C3010,10,00,0000,State - BIHAR  10,Urban,35-59,1950319,1055567,894752,9870,7083,2787,0,0,0,6695,4859,1836,1734,1296,438,883,646,237,558,282,276
C3010,10,00,0000,State - BIHAR  10,Urban,60+,535350,281686,253664,2096,1495,601,0,0,0,1435,1059,376,334,248,86,178,115,63,149,73,76
C3010,10,00,0000,State - BIHAR  10,Urban,Age not stated,15108,9322,5786,567,366,201,0,0,0,490,309,181,32,19,13,34,27,7,11,11,0
C3010,11,00,0000,State - SIKKIM  11,Total,All ages,540851,288484,252367,156112,80437,75675,149536,76344,73192,4414,2481,1933,873,577,296,1183,965,218,106,70,36
C3010,11,00,0000,State - SIKKIM  11,Total,0-4,52269,26789,25480,3564,1853,1711,3564,1853,1711,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Total,5,13100,6631,6469,5093,2577,2516,5093,2577,2516,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Total,6,12826,6422,6404,7376,3703,3673,7376,3703,3673,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Total,7,12784,6417,6367,9794,4965,4829,9794,4965,4829,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Total,8,14060,7131,6929,11755,5979,5776,11755,5979,5776,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Total,9,12200,6054,6146,10695,5342,5353,10695,5342,5353,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Total,10,15538,8051,7487,13754,7168,6586,13754,7168,6586,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Total,11,12285,6353,5932,10931,5682,5249,10931,5682,5249,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Total,12,16393,8512,7881,14153,7397,6756,14153,7397,6756,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Total,13,13384,6617,6767,11343,5661,5682,11343,5661,5682,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Total,14,14068,6983,7085,11187,5587,5600,11187,5587,5600,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Total,15-19,63444,32639,30805,35714,18107,17607,34164,17194,16970,1007,505,502,215,138,77,318,262,56,10,8,2
C3010,11,00,0000,State - SIKKIM  11,Total,20-24,55171,29567,25604,9332,5314,4018,5727,3236,2491,2980,1674,1306,259,133,126,342,257,85,24,14,10
C3010,11,00,0000,State - SIKKIM  11,Total,25-29,47552,24964,22588,698,509,189,0,0,0,306,207,99,120,69,51,257,225,32,15,8,7
C3010,11,00,0000,State - SIKKIM  11,Total,30-34,39153,21650,17503,220,155,65,0,0,0,62,49,13,48,27,21,92,71,21,18,8,10
C3010,11,00,0000,State - SIKKIM  11,Total,35-59,115646,66271,49375,289,235,54,0,0,0,44,37,7,73,54,19,149,128,21,23,16,7
C3010,11,00,0000,State - SIKKIM  11,Total,60+,29040,16391,12649,198,194,4,0,0,0,7,7,0,155,154,1,20,17,3,16,16,0
C3010,11,00,0000,State - SIKKIM  11,Total,Age not stated,1938,1042,896,16,9,7,0,0,0,8,2,6,3,2,1,5,5,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Rural,All ages,480981,255774,225207,138268,71018,67250,133559,68016,65543,3049,1764,1285,747,520,227,816,654,162,97,64,33
C3010,11,00,0000,State - SIKKIM  11,Rural,0-4,48083,24593,23490,2981,1527,1454,2981,1527,1454,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Rural,5,12067,6104,5963,4501,2267,2234,4501,2267,2234,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Rural,6,11867,5930,5937,6656,3319,3337,6656,3319,3337,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Rural,7,11666,5829,5837,8817,4442,4375,8817,4442,4375,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Rural,8,12863,6522,6341,10680,5421,5259,10680,5421,5259,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Rural,9,11113,5505,5608,9719,4851,4868,9719,4851,4868,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Rural,10,14128,7296,6832,12477,6473,6004,12477,6473,6004,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Rural,11,11110,5740,5370,9872,5113,4759,9872,5113,4759,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Rural,12,14773,7711,7062,12828,6724,6104,12828,6724,6104,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Rural,13,12017,5945,6072,10212,5088,5124,10212,5088,5124,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Rural,14,12534,6241,6293,9998,4995,5003,9998,4995,5003,0,0,0,0,0,0,0,0,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Rural,15-19,55792,28607,27185,31005,15720,15285,29895,15041,14854,681,348,333,183,129,54,238,196,42,8,6,2
C3010,11,00,0000,State - SIKKIM  11,Rural,20-24,48077,25574,22503,7418,4224,3194,4923,2755,2168,2059,1195,864,205,110,95,209,150,59,22,14,8
C3010,11,00,0000,State - SIKKIM  11,Rural,25-29,41121,21539,19582,480,333,147,0,0,0,216,149,67,100,54,46,151,123,28,13,7,6
C3010,11,00,0000,State - SIKKIM  11,Rural,30-34,33960,18809,15151,175,125,50,0,0,0,45,36,9,40,25,15,74,58,16,16,6,10
C3010,11,00,0000,State - SIKKIM  11,Rural,35-59,101244,57710,43534,245,200,45,0,0,0,37,30,7,62,46,16,124,109,15,22,15,7
C3010,11,00,0000,State - SIKKIM  11,Rural,60+,26699,15117,11582,191,188,3,0,0,0,5,5,0,155,154,1,15,13,2,16,16,0
C3010,11,00,0000,State - SIKKIM  11,Rural,Age not stated,1867,1002,865,13,8,5,0,0,0,6,1,5,2,2,0,5,5,0,0,0,0
C3010,11,00,0000,State - SIKKIM  11,Urban,All ages,59870,32710,27160,17844,9419,8425,15977,8328,7649,1365,717,648,126,57,69,367,311,56,9,6,3
